sample_id,group_id,PC_CP_1,PC_CP_2,PC_CP_3,PC_CP_4,PC_CP_5
Plate01_2012-06-11_88,gi-765,-11.33813601195617,7.87158596139666,-20.323847785770084,0.09697554268257894,3.33265249168914
Plate01_2012-06-11_89,gi-766,1.9919821819525985,8.96984279214681,4.669708962645855,-1.233141541856766,-3.358231361739835
Plate01_2012-06-11_90,gi-766,-5.299377317358354,3.5964197189083214,-16.29774298761938,-1.166422346631134,2.344823072083054
Plate01_2012-06-11_91,gi-766,-7.9355129786615715,-6.980471901665616,3.0506576418874367,0.4398794638926387,2.122489039740238
Plate01_2012-06-11_92,gi-766,2.3075679923995898,6.116824071912872,0.8652176833281563,-2.3150937511550227,-2.9604088814527763
Plate01_2012-06-11_93,gi-766,7.465315760849906,0.53870213698348,2.028874627060034,-2.155746761197273,-7.63771205315553
Plate01_2012-06-11_94,gi-766,-6.547314556294456,-2.608647337076819,3.331407252878523,1.3856947218879692,2.09238002024232
Plate01_2012-06-11_96,gi-766,-6.68654944244524,7.914712926524142,1.439150783029726,-0.22181047873216728,3.6877674953396737
Plate01_2012-06-11_97,gi-766,-2.053933505029495,0.1293484360116505,2.8355002619793366,-0.2242630604553117,-1.0457104227437704
Plate01_2012-06-11_98,gi-766,2.515600299007108,-10.339120227646797,0.4648217997988855,2.5919202770139607,2.331477052476146
Plate01_2012-06-11_99,gi-766,-3.3896896971965984,-5.361351813781914,5.1088777451057386,0.4232445738627851,0.14086567675488185
Plate01_2012-06-11_311,gi-766,1.5743597410059067,5.687635570219227,3.484570948964409,1.7718483936309841,-3.3051126784380984
Plate01_2012-06-11_312,gi-766,4.791841350882407,-1.908799972357876,1.6924185978166688,3.707430645632622,1.8006811651641816
Plate01_2012-06-11_313,gi-766,7.95634865718632,-3.9743547770952734,2.6149295828225574,0.8299528843186817,3.161770710201005
Plate01_2012-06-11_314,gi-766,3.3148330184282773,1.751605934787682,1.2576003816075634,-0.5842501269892085,-3.0285671111333885
Plate01_2012-06-11_315,gi-766,28.257037099249363,-5.745940540813618,-15.14519291942635,-5.505565557199367,3.333499311331113
Plate01_2012-06-11_537,gi-766,-2.5396013790628817,-6.033742205847196,3.6152136530019647,0.7522528914847951,-1.7593723700655082
Plate01_2012-06-11_538,gi-766,-0.5975044302874071,3.284090114444985,4.130634507344477,1.9727480566012918,-1.0836907998799792
Plate01_2012-06-11_540,gi-766,-0.7610838675762891,3.1507497304976155,4.357448305629479,0.3128685449205373,-3.5888110246425025
