sample_id,is_inlier_max_diff,group_id,score,is_inlier_1,is_inlier_5,is_inlier_10,is_inlier_15,is_inlier_20,is_inlier_25,is_inlier_30
Plate01_2012-06-11_88,False,gi-765,15.770925214334252,True,True,True,False,False,False,False
Plate01_2012-06-11_89,False,gi-766,15.499378589137109,True,True,True,True,False,False,False
Plate01_2012-06-11_90,True,gi-766,14.314569267227295,True,True,True,True,True,True,True
Plate01_2012-06-11_91,True,gi-766,11.782658621100584,True,True,True,True,True,True,True
Plate01_2012-06-11_92,True,gi-766,12.068146026123348,True,True,True,True,True,True,True
Plate01_2012-06-11_93,False,gi-766,17.387985028312638,True,True,False,False,False,False,False
Plate01_2012-06-11_94,True,gi-766,12.029997958918157,True,True,True,True,True,True,True
Plate01_2012-06-11_96,True,gi-766,14.72757549960102,True,True,True,True,True,True,False
Plate01_2012-06-11_97,True,gi-766,10.573897751740857,True,True,True,True,True,True,True
Plate01_2012-06-11_98,True,gi-766,13.4489604609777,True,True,True,True,True,True,True
Plate01_2012-06-11_99,True,gi-766,11.566181773729188,True,True,True,True,True,True,True
Plate01_2012-06-11_311,True,gi-766,14.290004521987829,True,True,True,True,True,True,True
Plate01_2012-06-11_312,True,gi-766,13.914542191307014,True,True,True,True,True,True,True
Plate01_2012-06-11_313,True,gi-766,14.64090375721195,True,True,True,True,True,True,False
Plate01_2012-06-11_314,True,gi-766,10.936477925182105,True,True,True,True,True,True,True
Plate01_2012-06-11_315,False,gi-766,17.14615023482694,True,True,False,False,False,False,False
Plate01_2012-06-11_537,True,gi-766,11.64270839098421,True,True,True,True,True,True,True
Plate01_2012-06-11_538,True,gi-766,13.709911948499188,True,True,True,True,True,True,True
Plate01_2012-06-11_540,True,gi-766,13.082513157906225,True,True,True,True,True,True,True
Plate01_2012-06-11_541,True,gi-766,14.079538852627689,True,True,True,True,True,True,True
Plate01_2012-06-11_542,True,gi-766,11.943592972951791,True,True,True,True,True,True,True
Plate01_2012-06-11_543,True,gi-766,11.768945022546518,True,True,True,True,True,True,True
Plate01_2012-06-11_544,True,gi-766,14.551947396688128,True,True,True,True,True,True,False
Plate01_2012-06-11_545,True,gi-766,13.552494356921795,True,True,True,True,True,True,True
Plate01_2012-06-11_285,True,gi-780,11.738946699899111,True,True,True,True,True,True,True
Plate01_2012-06-11_286,True,gi-780,12.200874389474613,True,True,True,True,True,True,True
Plate01_2012-06-11_287,True,gi-780,13.49741309627413,True,True,True,True,True,True,True
Plate01_2012-06-11_288,True,gi-780,15.09506625913654,True,True,True,True,True,False,False
Plate01_2012-06-11_289,False,gi-780,20.273522206510375,True,False,False,False,False,False,False
Plate01_2012-06-11_290,True,gi-780,13.732109606981021,True,True,True,True,True,True,True
Plate01_2012-06-11_291,True,gi-780,12.883169477956217,True,True,True,True,True,True,True
Plate01_2012-06-11_292,True,gi-780,15.04282968775479,True,True,True,True,True,False,False
Plate01_2012-06-11_293,True,gi-780,10.535295788627105,True,True,True,True,True,True,True
